SC7

"Filial";"Tipo";"Item";"Produto";"Descricao";"Unidade";"Quantidade";"Prc Unitario";"Vlr.Total";"Tipo Entrada";"Usr.Solicit.";"Numero da SC";"Item da SC";"Dt. Entrega";"Centro Custo";"Cta Contabil";"Armazem";"Fornecedor";"Loja";"Tab.Preco";"Segunda UM";"Cond. Pagto";"Contato";"Item Conta";"Filial Entr.";"Desconto 1";"Desconto 2";"DT Emissao";"Numero PC";"Desconto 3";"Qtd.Entregue";"Reajuste";"Vlr.Frete";"Ja' emitiu";"Tipo Frete";"Reemissao";"Liberacao";"Resid. Elim.";"Num.Cotacao";"Mensagem";"Transmissao";"Controle";"Cons. Desc.";"Ped. Encerr.";"OP.";"Vl. Desconto";"Sequencia";"Num.Purch.Or";"Rotina Gerad";"Qtd.a Classi";"Vlr Embalag.";"Fluxo Caixa";"Tipo Op";"Grupo Aprov.";"Controle Ap.";"Gr. Compras";"Cod. Usuario";"Status do ME";"Ok";"Qtde da SC";"Vlr.IPI";"Vlr.ICMS";"% Desc.Item";"Aliq.ICMS";"Base Icms";"Vlr.Base IPI";"Vlr.Seguro";"Vlr.Despesas";"Vlr.Frete";"Moeda";"Pendente";"Taxa Moeda";"Classe Valor";"Base IRRF";"Aliq. IRRF";"Valor IRRF";"ICMS Compl.";"Grupo";"ICMS Retido";"Cod. Produto";"Cod. Orcam.";"Val. ICMS So";"Seq MRP";"Dt. Contab.";"Cod.Credor";"Tipo empenho";"Esp.Empenho";"Tipo Frete";"Num.Contrato";"Rev.Contrato";"Num.Planilha";"Num.Medicao";"Item Medicao";"Dt Import.";"Politica Rep";"Periodo Repr";"Ag.Embarc.";"Grade";"Cod Forward.";"Item grade";"Via Transp.";"Origem";"Destino";"Cod.Comprad.";"Peso Bruto";"Incoterm";"Importador";"Cod.Consig.";"Dt Conf Ped";"Despachante";"Exportador";"Exp. Loja";"Modal. CNTR";"Vol. Cubado";"Contain. 20'";"Contain. 40'";"Cont. 40' hc";"Armazem";"Fabricante";"Fabric. Loja";"Dt Embarque";"Pos.IPI/NCM";"Ex-NCM";"Ex-NBM";"Rateio";"Bs. ICMS Sol";"C d Di rio";"Seq. Di rio";"Cod. Edital";"Nr. Processo";"Fil.Central.";"Natureza";"Prioridade";"Cont.Alcada";"Id.Cont.Alca";"Nivel.Alcada";"Dt. Ini. CQ";"Dt. Ini. Tra";"Dt. Ini. Com";"Elim. Reman.";"Num. PO";"Item ACC";"Ped. ACC";"Atual.Estoq";"ACC?";"Rev.Estrutur";"Fil. Origem";"Id.Alc.Aprov";"Nr. S.A.";"Niv Alc.Aprv";"ID TSS";"TP Colab.";"Aliq. ISS";"Valor do ISS";"Base CSLL";"Aliq. CSLL";"Vlr. do INSS";"Aliq. INSS";"Cod.RDA.Pag.";"Lote Pls";"Valor CSLL";"Base de ISS";"IdAlc.Aprv";"Rateio Fin";"Base de INSS";"Alcada Aprov";"NivAlcAprov";"Cod.Usr.Aprv";"Alc.RespApro";"Niv.Resp.Apr";"Base Imp. 5";"Base Imp. 6";"Valor Imp. 5";"Valor Imp. 6";"C d. Transp.";"Solicitante";"Vl.Fret.Con.";"Loja Transp.";"DRP Neogrid?";"Fil Edital";"Tipo Compra";"Cod Nota Emp";"Item Nt Emp";"Item Ed";"Lote Ed";"Operadora Lt";"Dedu  o";"Vlr Aten Ret";"Inf.Adic.Pro";"Vlr Aten Fat";"Reten  o";"Vlr Aten Ded";"Observacoes";"Fat Direto";"Qtd. 2a UM";"Id. Tributos";"Valor PIS";"Valor Cofins";"Base PIS";"Aliq Cofins";"Aliquota PIS";"Base Cofins";"Aliq PIS";"Aliq COF";"Aliq. IPI";"Tipo pedido";"Campo UUID";"Grupo Aprov.";"Status";"Modo Pgto";"Num Processo";"Justif. Cot."
"101";"1";"0001";"0401000008";"SERVICO DE ADVOCACIA";"UN";"1";"19000";"19000";"091";"001528";"";"";"08/01/2025";"010103";"6101010214";"99";"008034";"01";"";"";"002";"";"";"101";"0";"0";"07/01/2025";"018394";"0";"1";"";"0";"S";"";"1";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001528";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"0401";"0";"";"";"0";"";"  /  /    ";"";"";"";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"";"Media";"";"";"";"08/01/2025";"08/01/2025";"08/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"";"";"0";"0";"";"";"0";"";"";"";"";"";"19000";"19000";"1444";"313,5";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Contrato";"12E2B5D4-9907-47A1-9E76-B12BA72A3332";"000004";"Aprovado";"";"000002";""
"101";"1";"0001";"1703000261";"MENSALIDADE DE CONSULTAS DO SERASA";"UN";"1";"468,46";"468,46";"091";"001528";"";"";"09/01/2025";"010103";"6101010233";"99";"001997";"01";"";"";"002";"";"";"101";"0";"0";"08/01/2025";"018409";"0";"1";"";"0";"S";"";"1";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001528";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"1703";"0";"";"";"0";"";"  /  /    ";"";"";"";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"";"Media";"";"";"";"09/01/2025";"09/01/2025";"09/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"";"";"0";"0";"";"";"0";"";"";"";"";"";"468,46";"468,46";"35,6";"7,73";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Contrato";"37F9A0B4-BA58-4250-A3DF-E63BCF4FA9AD";"000004";"Aprovado";"";"000015";""
"101";"1";"0001";"1703000261";"MENSALIDADE DE CONSULTAS DO SERASA";"UN";"1";"108,61";"108,61";"091";"001528";"";"";"29/01/2025";"010103";"6101010233";"99";"001997";"01";"";"";"002";"";"";"101";"0";"0";"07/02/2025";"018410";"0";"1";"";"0";"S";"";"1";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001528";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"1703";"0";"";"";"0";"";"  /  /    ";"";"";"";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"";"Media";"";"";"";"29/01/2025";"29/01/2025";"29/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"";"";"0";"0";"";"";"0";"";"";"";"";"";"108,61";"108,61";"8,25";"1,79";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"";"79BD5255-8D84-4240-9A63-4B25C926F252";"000004";"Aprovado";"";"000016";""
"101";"1";"0001";"0401241897";"IMPOSTOS E TAXAS";"UN";"1";"700";"700";"48A";"001528";"";"";"28/01/2025";"010100";"6101010237";"99";"000123";"01";"";"";"005";"";"";"101";"0";"0";"08/01/2025";"018421";"0";"1";"";"0";"";"";"0";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001528";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"0401";"0";"";"";"0";"";"  /  /    ";"";"";"";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"";"Media";"";"";"";"28/01/2025";"28/01/2025";"28/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"0";"";"";"0";"0";"";"";"0";"";"";"";"";"";"0";"0";"0";"0";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"0";"0";"0";"";"F665C854-7714-44B0-930F-C4DB22714675";"000001";"Aprovado";"";"000030";""
"101";"1";"0001";"0401000292";"SERVICO DE APOIO ADMINISTRATIVO";"UN";"1";"19810,05";"19810,05";"091";"001863";"";"";"10/01/2025";"010201";"6101010233";"99";"001354";"01";"";"";"000";"";"";"101";"0";"0";"10/01/2025";"018433";"0";"1";"";"0";"";"";"0";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001863";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"0401";"0";"";"20050000";"0";"";"  /  /    ";"";"Dispensada";"Ordinario";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"02010515";"Media";"";"";"";"10/01/2025";"10/01/2025";"10/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"11";"";"";"0";"0";"";"";"0";"";"";"";"";"";"19810,05";"19810,05";"1505,56";"326,87";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Normal";"221FB83D-5613-4F30-8959-21E5302155C8";"000012";"Aprovado";"";"000058";""
"101";"1";"0001";"0401000399";"SERVICO DE CONSULTORIA E ASSESSORIA";"UN";"1";"8858,09";"8858,09";"091";"001863";"";"";"10/01/2025";"010201";"6101010233";"99";"000649";"01";"";"";"000";"";"";"101";"0";"0";"10/01/2025";"018434";"0";"1";"";"0";"";"";"0";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001863";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"0401";"0";"";"20050000";"0";"";"  /  /    ";"";"Dispensada";"Ordinario";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"02010515";"Media";"";"";"";"10/01/2025";"10/01/2025";"10/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"11";"";"";"0";"0";"";"";"0";"";"";"";"";"";"8858,09";"8858,09";"673,21";"146,16";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Normal";"2CFF62CB-B70C-4749-A2E6-F756DE911F27";"000012";"Aprovado";"";"000059";""
"101";"1";"0001";"1002000077";"SERVICO DE SUPORTE TECNICO EM INFORMATICA";"UN";"1";"45784,62";"45784,62";"091";"001863";"";"";"10/01/2025";"010105";"6101010233";"99";"001687";"01";"";"";"000";"";"";"101";"0";"0";"10/01/2025";"018435";"0";"1";"";"0";"";"";"0";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001863";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"1002";"0";"";"20050000";"0";"";"  /  /    ";"";"Dispensada";"Ordinario";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"02010515";"Media";"";"";"";"10/01/2025";"10/01/2025";"10/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"11";"";"";"0";"0";"";"";"0";"";"";"";"";"";"45784,62";"45784,62";"3479,63";"755,45";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Normal";"1C1A1C11-AAA7-4CBD-886A-EDF73A467B36";"000006";"Aprovado";"";"000060";""
"101";"1";"0001";"0401000399";"SERVICO DE CONSULTORIA E ASSESSORIA";"UN";"1";"20000";"20000";"091";"001863";"";"";"10/01/2025";"010201";"6101010233";"99";"002429";"01";"";"";"000";"";"";"101";"0";"0";"10/01/2025";"018436";"0";"1";"";"0";"";"";"0";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001863";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"0401";"0";"";"20050000";"0";"";"  /  /    ";"";"Dispensada";"Ordinario";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"02010515";"Media";"";"";"";"10/01/2025";"10/01/2025";"10/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"11";"";"";"0";"0";"";"";"0";"";"";"";"";"";"20000";"20000";"1520";"330";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Normal";"EC6A18FE-1B03-4639-8E3C-0D7D37A9B91B";"000012";"Aprovado";"";"000061";""
"101";"1";"0001";"1002000077";"SERVICO DE SUPORTE TECNICO EM INFORMATICA";"UN";"1";"7916,56";"7916,56";"091";"001863";"";"";"10/01/2025";"010105";"6101010233";"99";"008054";"01";"";"";"000";"";"";"101";"0";"0";"10/01/2025";"018437";"0";"1";"";"0";"";"";"0";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001863";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"1002";"0";"";"20050000";"0";"";"  /  /    ";"";"Dispensada";"Ordinario";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"02010515";"Media";"";"";"";"10/01/2025";"10/01/2025";"10/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"11";"";"";"0";"0";"";"";"0";"";"";"";"";"";"7916,56";"7916,56";"601,66";"130,62";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Normal";"584E6BAA-49E8-441C-AE33-3DE2E61E9742";"000006";"Aprovado";"";"000062";""
"101";"1";"0001";"1002000077";"SERVICO DE SUPORTE TECNICO EM INFORMATICA";"UN";"1";"11915,12";"11915,12";"091";"001863";"";"";"10/01/2025";"010105";"6101010233";"99";"002960";"01";"";"";"000";"";"";"101";"0";"0";"10/01/2025";"018438";"0";"1";"";"0";"";"";"0";"";"";"";"";"";"";"B";"E";"";"0";"";"";"";"0";"0";"Sim";"Firme";"000001";"L";"000001";"001863";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Nao";"0";"";"0";"0";"0";"0";"1002";"0";"";"20050000";"0";"";"  /  /    ";"";"Dispensada";"Ordinario";"";"";"";"";"";"";"  /  /    ";"Manual";"0";"";"Gr de";"";"";"";"";"";"";"0";"";"";"";"  /  /    ";"";"";"";"";"0";"0";"0";"0";"";"";"";"  /  /    ";".  .";"";"";"Nao";"0";"";"";"";"";"";"02010515";"Media";"";"";"";"10/01/2025";"10/01/2025";"10/01/2025";"";"";"";"";"";"N o";"";"101";"";"";"";"";"";"0";"0";"0";"1";"0";"11";"";"";"0";"0";"";"";"0";"";"";"";"";"";"11915,12";"11915,12";"905,55";"196,6";"";"";"0";"";"IIF(C7_ORIGEM == ""LOJA7033"",""SIM"","""")";"";"";"";"";"";"";"";"0";"0";"";"0";"0";"0";"";"0";"0";"";"0";"0";"0";"7,6";"1,65";"0";"1,65";"7,6";"0";"Normal";"D0963C4C-A893-4D5B-BB01-D5B351472790";"000006";"Aprovado";"";"000063";""
