CT2

"Filial";"Data Lcto";"Numero Lote";"Sub Lote";"Numero Doc";"Numero Linha";"Moeda Lancto";"Tipo Lcto";"Cta Debito";"Cta Credito";"Dig Cont Deb";"Dig Cont Crd";"Valor";"Moedas Lanca";"Hist Pad";"Hist Lanc";"C Custo Deb";"C Custo Crd";"Item Debito";"Item Credito";"Cl Vlr Deb";"Cl Vlr Cred";"Ativ Deb";"Ativ Crd";"Empresa Orig";"Filial Orig";"Intercompany";"Ident IntCp";"Tipo do Sld";"Seq CTK";"Lcto Manual";"Origem";"Rotina";"Aglutinado";"Lanc Padrao";"Seq Historic";"Seq Auxiliar";"Data Venc";"Flag Sld Bas";"Dt Apuracao";"Data Conv.";"Taxa Conv.";"Valor Moeda1";"Valor Moeda2";"Valor Moeda3";"Valor Moeda4";"Valor Moeda5";"Crit. Conver";"Crit Conv";"Key";"Correlativo";"Data Rastrea";"Seq Chv Unic";"Status Conf.";"Obs Conf";"Usuario Conf";"Data Conf";"Hora Conf";"Tps Saldos";"Status Copia";"Cod.Partic.";"Nro Diario";"Cod. Diario";"Cód. Fornec.";"Cód. Cliente";"Ativ.01 DB";"Ativ.01 CR";"Ativ.02 DB";"Ativ.02 CR";"Ativ.03 DB";"Ativ.03 CR";"Ativ.04 DB";"Ativ.04 CR";"Control.Sald";"Moed fato DB";"Moed fato CR";"Log de Inclu";"Log de Alter";"Sequencial";"Grupo";"Lanc";"Id. Concilia";"Estorno/Canc";"Incons. Cont";"Cod Processo";"Campo UUID"
"";"02/01/2025";"008820";"001";"000001";"001";"01";"Partida Dobrada";"1102010101";"3101010101";"";"";"332362,8";"";"";"REF. VENDA NF 000004076 - PRONTO EXPRESS";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003836";"2";"THREE.SILVIA - 610.001";"CTBANFS";"2";"610";"001";"001";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"332362,8";"0";"0";"0";"0";"Diaria";"";"101000004076FL1000164019000008                       01";"";"02/01/2025";"";"";"";"";"  /  /    ";"";";1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"020D8849-EB17-40A5-B768-3E4E4AE9015F"
"";"02/01/2025";"008820";"001";"000001";"002";"01";"Cont.Hist";"";"";"";"";"0";"";"";"LOGISTICA SA";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003836";"2";"THREE.SILVIA - 610.001";"CTBANFS";"2";"610";"002";"001";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"0";"0";"0";"0";"0";"";"";"101000004076FL1000164019000008                       01";"";"02/01/2025";"";"";"";"";"  /  /    ";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"78635078-4353-4A5B-A2DA-FE76B81271C4"
"";"02/01/2025";"008820";"001";"000001";"003";"01";"Partida Dobrada";"4101010101";"2101040101";"";"";"2160,36";"";"";"REF PIS NF 000004076 - PRONTO EXPRESS LO";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003836";"2";"THREE.SILVIA - 610.002";"CTBANFS";"2";"610";"001";"002";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"2160,36";"0";"0";"0";"0";"Diaria";"";"101000004076FL1000164019000008                       01";"";"02/01/2025";"";"";"";"";"  /  /    ";"";";1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"CD44859F-673A-4869-8AC8-432B95F4D3C6"
"";"02/01/2025";"008820";"001";"000001";"004";"01";"Cont.Hist";"";"";"";"";"0";"";"";"GISTICA SA";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003836";"2";"THREE.SILVIA - 610.002";"CTBANFS";"2";"610";"002";"002";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"0";"0";"0";"0";"0";"";"";"101000004076FL1000164019000008                       01";"";"02/01/2025";"";"";"";"";"  /  /    ";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"81DC937F-EF9D-407E-A99F-72D18DE11BC0"
"";"02/01/2025";"008820";"001";"000001";"005";"01";"Partida Dobrada";"4101010102";"2101040102";"";"";"9970,88";"";"";"REF COFINS NF 000004076 - PRONTO EXPRESS";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003836";"2";"THREE.SILVIA - 610.003";"CTBANFS";"2";"610";"001";"003";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"9970,88";"0";"0";"0";"0";"Diaria";"";"101000004076FL1000164019000008                       01";"";"02/01/2025";"";"";"";"";"  /  /    ";"";";1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"0CA34F31-E53F-4F1C-B5A5-C298AC79A9CD"
"";"02/01/2025";"008820";"001";"000001";"006";"01";"Cont.Hist";"";"";"";"";"0";"";"";"LOGISTICA SA";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003836";"2";"THREE.SILVIA - 610.003";"CTBANFS";"2";"610";"002";"003";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"0";"0";"0";"0";"0";"";"";"101000004076FL1000164019000008                       01";"";"02/01/2025";"";"";"";"";"  /  /    ";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"2D467649-BFBE-4A50-BA7F-7595FA9E1B05"
"";"02/01/2025";"008850";"001";"000001";"001";"01";"Partida Dobrada";"7201010105";"1101010202";"";"";"0,62";"";"";"VALOR REF MOV MANUAL CFE EXTRATO - LIQUI";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003785";"2";"THREE.SILVIA - 562.002";"FINA370";"1";"562";"001";"001";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"0,62";"0";"0";"0";"0";"Diaria";"";"101";"";"02/01/2025";"";"";"";"";"  /  /    ";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"4A7AA7C2-EEA1-4D88-991E-FF21C8207610"
"";"02/01/2025";"008850";"001";"000001";"002";"01";"Cont.Hist";"";"";"";"";"0";"";"";"DACAO NORMAL";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003785";"2";"THREE.SILVIA - 562.002";"FINA370";"1";"562";"002";"001";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"0";"0";"0";"0";"0";"";"";"";"";"02/01/2025";"";"";"";"";"  /  /    ";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"D19B7BAA-2801-41B4-AAF9-E6763270E7F2"
"";"02/01/2025";"008850";"001";"000002";"001";"01";"Partida Dobrada";"1101010202";"1102010101";"";"";"59132,97";"";"";"REF. RECEB. DOC FL1 000004074 -INEOS STY";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003786";"2";"THREE.SILVIA - 521.001";"FINA370";"1";"521";"001";"001";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"59132,97";"0";"0";"0";"0";"Diaria";"";"";"";"02/01/2025";"";"";"";"";"  /  /    ";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"BC709AE2-5728-40A4-A682-69AB4C8F9A29"
"";"02/01/2025";"008850";"001";"000002";"002";"01";"Cont.Hist";"";"";"";"";"0";"";"";"ROLUTION DO BRASIL POLIMEROS LT";"";"";"";"";"";"";"";"";"02";"101";"";"";"1";"0003003786";"2";"THREE.SILVIA - 521.001";"FINA370";"1";"521";"002";"001";"  /  /    ";"";"  /  /    ";"  /  /    ";"0";"0";"0";"0";"0";"0";"";"";"";"";"02/01/2025";"";"";"";"";"  /  /    ";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0#  9@< 90n 609";"";"";"";"";"";"";"2";"";"AD9DC91C-8071-4F24-A73D-986FB8661A46"
